Question Text,Option A,Option B,Option C,Option D,Correct Option
"""ఈ సంగతులు నిజమేనా?"" అని స్తెఫనును ఎవరు అడిగారు?","పేతురు","గమలియేలు","ప్రధాన యాజకుడు","పౌలు","ప్రధాన యాజకుడు"
"దేవుడు అబ్రాహాముకు ఎక్కడ ప్రత్యక్షమయ్యాడు?","కనాను దేశంలో","ఐగుప్తులో","మెసొపొతామియాలో","యెరూషలేములో","మెసొపొతామియాలో"
"అబ్రాహాము ఏ కుమారునికి సున్నతి నిబంధన ఇచ్చాడు?","ఇష్మాయేలు","ఇస్సాకు","యాకోబు","యోసేపు","ఇస్సాకు"
"యోసేపును అతని సహోదరులు ఎక్కడికి అమ్మివేశారు?","బాబులోనుకు","సిరియాకు","ఐగుప్తుకు","రోమాకు","ఐగుప్తుకు"
"ఐగుప్తులో యోసేపుకు అనుగ్రహం చూపిన రాజు ఎవరు?","నెబుకద్నెజరు","ఫరో","కయసరు","హెరోదు","ఫరో"
"కనాను మరియు ఐగుప్తులో వచ్చినది ఏమిటి?","యుద్ధం","కరువు","వ్యాధి","వరద","కరువు"
"యాకోబు తన కుమారులను ధాన్యం కొనడానికి ఎక్కడికి పంపించాడు?","యెరూషలేముకు","సిరియాకు","ఐగుప్తుకు","రోమాకు","ఐగుప్తుకు"
"మోషే ఎక్కడ జన్మించాడు?","కనాను","మిద్యాను","ఐగుప్తు","బేత్లెహేము","ఐగుప్తు"
"మోషే ఎన్ని నెలలు తన తండ్రి ఇంటిలో పెంచబడ్డాడు?","2 నెలలు","3 నెలలు","6 నెలలు","12 నెలలు","3 నెలలు"
"మోషే ఎన్ని సంవత్సరాల వయస్సులో తన సహోదరులను చూడడానికి వెళ్లాడు?","20","30","40","50","40"
"మోషే ఐగుప్తీయుడిని చంపిన తరువాత ఎక్కడికి పారిపోయాడు?","కనాను","మిద్యాను","రోమా","దమస్కు","మిద్యాను"
"మండుచున్న పొదలో దేవుడు మోషేకు ఎక్కడ ప్రత్యక్షమయ్యాడు?","సీనాయి కొండ దగ్గర","జయోను కొండపై","ఒలీవ కొండపై","కర్మెలు కొండపై","సీనాయి కొండ దగ్గర"
"మోషే ఎన్ని సంవత్సరాలు మిద్యానులో ఉన్నాడు?","20","30","40","50","40"
"""నావంటి ఒక ప్రవక్తను దేవుడు లేపును"" అని ఎవరు చెప్పారు?","అబ్రాహాము","దావీదు","మోషే","యెషయా","మోషే"
"ఇశ్రాయేలీయులు అరణ్యంలో ఏ విగ్రహాన్ని చేసుకున్నారు?","సింహం","దూడ","పాము","గరుడపక్షి","దూడ"
"గుడారమును అరణ్యంలో ఎవరు కలిగియున్నారు?","ఫిలిస్తీయులు","ఇశ్రాయేలీయులు","ఐగుప్తీయులు","రోమీయులు","ఇశ్రాయేలీయులు"
"దేవునికి మందిరాన్ని నిర్మించిన రాజు ఎవరు?","దావీదు","సౌలు","సొలొమోను","హిజ్కియా","సొలొమోను"
"""సర్వోన్నతుడు చేతులతో చేసిన మందిరాలలో నివసించడు"" అని స్తెఫను చెప్పినప్పుడు ఏ ప్రవక్తను ఉటంకించాడు?","యిర్మీయా","యోవేలు","యెషయా","హోషేయ","యెషయా"
"స్తెఫను యూదులను ఎలా సంబోధించాడు?","విశ్వాసులు","పరిశుద్ధులు","మెడలు గట్టిపరచినవారు","నీతిమంతులు","మెడలు గట్టిపరచినవారు"
"యూదులు ఎల్లప్పుడూ ఎవరిని ఎదిరిస్తున్నారని స్తెఫను చెప్పాడు?","మోషేను","పరిశుద్ధాత్మను","రాజులను","ప్రవక్తలను","పరిశుద్ధాత్మను"
"స్తెఫను ఆకాశం వైపు చూసినప్పుడు ఏమి చూశాడు?","దేవదూతలు","కొత్త యెరూషలేము","దేవుని మహిమ","అగ్ని","దేవుని మహిమ"
"స్తెఫను దేవుని కుడిపార్శ్వమున ఎవరు నిలిచి ఉన్నట్లు చూశాడు?","అబ్రాహాము","మోషే","యేసు","దావీదు","యేసు"
"స్తెఫనును ఎక్కడికి తీసుకువెళ్లి రాళ్లతో కొట్టారు?","దేవాలయంలో","పట్టణం వెలుపల","సముద్ర తీరంలో","అరణ్యంలో","పట్టణం వెలుపల"
"సాక్షులు తమ వస్త్రాలను ఎవరి పాదాల దగ్గర ఉంచారు?","పేతురు","యోహాను","సౌలు","బర్నబా","సౌలు"
"స్తెఫను చనిపోవడానికి ముందు ఏమని ప్రార్థించాడు?","""ప్రభువా, నన్ను రక్షించు""","""ప్రభువా, నా ఆత్మను చేర్చుకొనుము""","""ప్రభువా, వీరిని శిక్షించు""","""ప్రభువా, నన్ను విడిపించు""","""ప్రభువా, నా ఆత్మను చేర్చుకొనుము"""
"తనను రాళ్లతో కొడుతున్నవారి కోసం స్తెఫను ఏమని ప్రార్థించాడు?","వారిని శిక్షించు","వారిని చెరలో వేయి","ఈ పాపము వారిపై మోపవద్దు","వారిని దేశం నుండి పంపివేయి","ఈ పాపము వారిపై మోపవద్దు"
