Question Text,Option A,Option B,Option C,Option D,Correct Option
"అన్యజనులు కూడా దేవుని వాక్యాన్ని అంగీకరించారని ఎవరు విన్నారు?","రోమీయులు","అపొస్తలులు మరియు యూదయలోని సహోదరులు","సమరయులు","ఫిలిప్పీయులు","అపొస్తలులు మరియు యూదయలోని సహోదరులు"
"పేతురు యెరూషలేముకు వచ్చినప్పుడు ఎవరు అతనితో వాదించారు?","సద్దూకయ్యులు","పరిసయ్యులు","సున్నతి పొందిన విశ్వాసులు","రోమా సైనికులు","సున్నతి పొందిన విశ్వాసులు"
"వారు పేతురును ఏ విషయములో తప్పుపట్టారు?","సమరయకు వెళ్లాడని","అన్యజనుల ఇంటికి వెళ్లి వారితో భోజనం చేశాడని","చెరసాలకు వెళ్లాడని","దేవాలయానికి రాలేదని","అన్యజనుల ఇంటికి వెళ్లి వారితో భోజనం చేశాడని"
"పేతురు ఎక్కడ ప్రార్థిస్తున్నప్పుడు దర్శనం చూశాడు?","కైసరియాలో","యెరూషలేములో","యొప్పేలో","దమస్కులో","యొప్పేలో"
"పేతురుకు దర్శనంలో ఏమి కనబడింది?","దేవాలయం","గొప్ప వస్త్రము","అగ్ని రథం","బంగారు పెట్టె","గొప్ప వస్త్రము"
"ఆ వస్త్రములో ఏమి ఉన్నాయి?","పుస్తకాలు","బంగారం","నాలుగు కాళ్ల జంతువులు, పక్షులు, ప్రాకే జంతువులు","ఆయుధాలు","నాలుగు కాళ్ల జంతువులు, పక్షులు, ప్రాకే జంతువులు"
"""దేవుడు పవిత్రపరచిన దానిని అపవిత్రమని అనకు"" అనే మాట ఎన్ని సార్లు వినిపించింది?","ఒకసారి","రెండుసార్లు","మూడుసార్లు","నాలుగుసార్లు","మూడుసార్లు"
"పేతురుతో పాటు కొర్నేలి ఇంటికి వెళ్లిన సహోదరులు ఎంతమంది?","3 మంది","5 మంది","6 మంది","12 మంది","6 మంది"
"కొర్నేలి తన ఇంటిలో ఏ దర్శనం గురించి చెప్పాడు?","పేతురు దర్శనం","దేవదూత దర్శనం","మోషే దర్శనం","ఎలీయా దర్శనం","దేవదూత దర్శనం"
"పేతురు మాట్లాడుతుండగా ఏమి జరిగింది?","వర్షం పడింది","భూకంపం వచ్చింది","పరిశుద్ధాత్మ వారిమీదికి దిగివచ్చాడు","అందరూ వెళ్లిపోయారు","పరిశుద్ధాత్మ వారిమీదికి దిగివచ్చాడు"
"అన్యజనులు పరిశుద్ధాత్మ పొందినప్పుడు పేతురుకు ఏ సంఘటన గుర్తుకు వచ్చింది?","యేసు జననం","పెంతెకొస్తు దినం","యోహాను చెప్పిన మాట","యేసు అద్భుతం","యోహాను చెప్పిన మాట"
"""యోహాను నీటితో బాప్తిస్మం ఇచ్చెను, మీరు పరిశుద్ధాత్మతో బాప్తిస్మం పొందుదురు"" అని ఎవరు చెప్పారు?","పేతురు","యోహాను","యేసు","పౌలు","యేసు"
"పేతురు వివరణ విన్న తరువాత వారు ఏమి చేశారు?","కోపపడ్డారు","మౌనంగా ఉండి దేవుని మహిమపరిచారు","పేతురును శిక్షించారు","సభను విడిచారు","మౌనంగా ఉండి దేవుని మహిమపరిచారు"
"వారు ఏమని అన్నారు?","పేతురు తప్పు చేశాడు","దేవుడు అన్యజనులకు కూడా జీవమునకు దారితీసే మారుమనస్సు అనుగ్రహించాడు","యూదులకే రక్షణ","మేము నమ్మము","దేవుడు అన్యజనులకు కూడా జీవమునకు దారితీసే మారుమనస్సు అనుగ్రహించాడు"
"స్తెఫను మరణం తరువాత చెదరిపోయినవారు ఎక్కడివరకు వెళ్లారు?","రోమా మాత్రమే","ఫొయినీకె, కుప్రు, అంతియొకయ","ఐగుప్తు మాత్రమే","గలిలయ మాత్రమే","ఫొయినీకె, కుప్రు, అంతియొకయ"
"మొదట వారు ఎవరికి మాత్రమే సువార్త ప్రకటించారు?","అన్యజనులకు","సమరయులకు","యూదులకు","రోమీయులకు","యూదులకు"
"అంతియొకయలో గ్రీకులకు కూడా సువార్త ప్రకటించినవారు ఎక్కడి వారు?","యెరూషలేము","కుప్రు మరియు కురేనె","రోమా","దమస్కు","కుప్రు మరియు కురేనె"
"అంతియొకయలో అనేకులు ఎవరియొద్దకు తిరిగారు?","పేతురు","పౌలు","ప్రభువు","బర్నబా","ప్రభువు"
"అంతియొకయలో జరిగిన సంగతులు విని యెరూషలేము సంఘము ఎవరిని పంపింది?","పేతురు","యోహాను","బర్నబా","ఫిలిప్పు","బర్నబా"
"బర్నబా అంతియొకయకు వచ్చి ఏమి చూశాడు?","దేవుని కృప","దేవాలయం","అద్భుతాలు","రాజభవనం","దేవుని కృప"
