Question Text,Option A,Option B,Option C,Option D,Correct Option
"సంఘములోని కొందరిని హింసించుటకు చేతులు చాచిన రాజు ఎవరు?","అగ్రిప్పా II","హెరోదు అగ్రిప్పా I","ఫేస్తు","ఫెలిక్సు","హెరోదు అగ్రిప్పా I"
"హెరోదు కత్తితో చంపించిన అపొస్తలుడు ఎవరు?","పేతురు","యోహాను","యాకోబు","అండ్రేయా","యాకోబు"
"చంపబడిన యాకోబు ఎవరి సహోదరుడు?","పేతురు","యోహాను","మత్తయి","ఫిలిప్పు","యోహాను"
"యాకోబును చంపడం యూదులకు ఇష్టమైందని చూసి హెరోదు ఎవరిని పట్టించాడు?","పౌలు","బర్నబా","పేతురు","సీలా","పేతురు"
"పేతురును ఏ పండుగ సమయంలో పట్టించారు?","గుడారాల పండుగ","పెంతెకొస్తు పండుగ","పులియని రొట్టెల పండుగ","ప్రాయశ్చిత్త దినం","పులియని రొట్టెల పండుగ"
"పేతురును కాపాడుటకు ఎంతమంది సైనికులను నియమించారు?","4 మంది","8 మంది","12 మంది","16 మంది","16 మంది"
"పేతురు చెరసాలలో ఉండగా సంఘము ఏమి చేసింది?","దాక్కుంది","ఉపవాసం మాత్రమే చేసింది","దేవునికి అతని కొరకు మనఃపూర్వక ప్రార్థన చేసింది","రాజును కలిసింది","దేవునికి అతని కొరకు మనఃపూర్వక ప్రార్థన చేసింది"
"పేతురు చెరసాలలో ఉన్నప్పుడు అతని పక్కన ఎంతమంది సైనికులు ఉన్నారు?","1","2","4","8","2"
"పేతురును విడుదల చేయడానికి ఎవరు వచ్చారు?","పౌలు","యోహాను","ప్రభువు దూత","బర్నబా","ప్రభువు దూత"
"దూత వచ్చినప్పుడు చెరసాలలో ఏమి ప్రకాశించింది?","అగ్ని","మెరుపు","వెలుగు","సూర్యకాంతి","వెలుగు"
"దూత పేతురుతో మొదట ఏమన్నాడు?","నన్ను అనుసరించు","త్వరగా లెమ్ము","భయపడవద్దు","ప్రార్థించు","త్వరగా లెమ్ము"
"పేతురు చేతులకు ఉన్న సంకెళ్లు ఏమయ్యాయి?","విరిగిపోయాయి","అలాగే ఉన్నాయి","చేతుల నుండి ఊడిపోయాయి","సైనికులు తీసేశారు","చేతుల నుండి ఊడిపోయాయి"
"పేతురు మొదట ఏమనుకున్నాడు?","ఇది కల","ఇది దర్శనం","ఇది నిజం కాదు","నేను చనిపోతున్నాను","ఇది దర్శనం"
"వీధిలోకి వచ్చిన తరువాత దూత ఏమయ్యాడు?","పేతురుతోనే ఉన్నాడు","మాయమయ్యాడు","చెరసాలకు వెళ్లాడు","యెరూషలేముకు వెళ్లాడు","మాయమయ్యాడు"
"పేతురు తనకు నిజంగా ఏమి జరిగిందని గ్రహించాడు?","తాను కలగంటున్నానని","ప్రభువు దూతను పంపి తనను విడిపించాడని","సైనికులు వదిలేశారని","హెరోదు క్షమించాడని","ప్రభువు దూతను పంపి తనను విడిపించాడని"
"పేతురు ఎవరి ఇంటికి వెళ్లాడు?","మార్థా","మరియ","లూదియా","తబితా","మరియ"
"ఆ మరియ ఎవరి తల్లి?","పౌలు","యోహాను మార్కు","యాకోబు","ఫిలిప్పు","యోహాను మార్కు"
"పేతురు తలుపు తట్టినప్పుడు తలుపు దగ్గరకు వచ్చిన దాసి పేరు ఏమిటి?","దొర్కా","రోదె","సప్పీరా","మరియ","రోదె"
