Question Text,Option A,Option B,Option C,Option D,Correct Option
"స్తెఫను మరణించినప్పుడు దానికి సమ్మతించినవాడు ఎవరు?","పేతురు","యోహాను","సౌలు","ఫిలిప్పు","సౌలు"
"స్తెఫను మరణించిన తరువాత యెరూషలేము సంఘంపై ఏమి వచ్చింది?","ఆనందం","కరువు","హింస","యుద్ధం","హింస"
"అపొస్తలులు తప్ప మిగిలిన విశ్వాసులు ఎక్కడికి చెదరిపోయారు?","రోమా","యూదయ, సమరయ ప్రాంతాలు","ఐగుప్తు","గలిలయ మాత్రమే","యూదయ, సమరయ ప్రాంతాలు"
"స్తెఫనును ఎవరు సమాధి చేశారు?","అపొస్తలులు","భక్తిగల మనుష్యులు","యాజకులు","రోమా సైనికులు","భక్తిగల మనుష్యులు"
"సౌలు సంఘాన్ని ఎలా హింసించాడు?","పన్నులు వేసాడు","ఇంటింటికి వెళ్లి పురుషులను, స్త్రీలను చెరలో వేయించాడు","దేశం నుండి పంపించాడు","బోధించకుండా ఆపాడు","ఇంటింటికి వెళ్లి పురుషులను, స్త్రీలను చెరలో వేయించాడు"
"సమరయ పట్టణంలో సువార్త ప్రకటించినవాడు ఎవరు?","పేతురు","యోహాను","ఫిలిప్పు","బర్నబా","ఫిలిప్పు"
"ఫిలిప్పు సమరయలో ఎవరిని ప్రకటించాడు?","మోషేను","క్రీస్తును","అబ్రాహామును","ఏలీయాను","క్రీస్తును"
"ఫిలిప్పు చేసిన అద్భుతాలు చూసి ప్రజలు ఎలా అయ్యారు?","కోపపడ్డారు","భయపడ్డారు","ఏకమనస్సుతో ఆలకించారు","వెళ్లిపోయారు","ఏకమనస్సుతో ఆలకించారు"
"అపవిత్ర ఆత్మలు పట్టిన అనేక మందికి ఏమైంది?","వారు చనిపోయారు","అవి బయటకు వెళ్లిపోయాయి","వారు చెరలో పడ్డారు","వారు పారిపోయారు","అవి బయటకు వెళ్లిపోయాయి"
"ఆ పట్టణంలో ఏమి కలిగింది?","గొప్ప కరువు","గొప్ప భయం","గొప్ప సంతోషం","గొప్ప యుద్ధం","గొప్ప సంతోషం"
"మాయలు చేసి ప్రజలను ఆశ్చర్యపరిచిన వ్యక్తి ఎవరు?","బర్నబా","సీమోను","అననీయా","నికొలావు","సీమోను"
"ప్రజలు సీమోనును ఏమని పిలిచేవారు?","గొప్ప ప్రవక్త","దేవుని గొప్ప శక్తి","రాజు","యాజకుడు","దేవుని గొప్ప శక్తి"
"ఫిలిప్పు బోధ విని అనేకులు ఏమి పొందారు?","ధనం","బాప్తిస్మం","అధికారము","రాజ్యం","బాప్తిస్మం"
"సమరయ ప్రజలు దేవుని వాక్యాన్ని అంగీకరించారని విని అపొస్తలులు ఎవరిని పంపారు?","బర్నబా, మార్కు","పేతురు, యోహాను","పౌలు, సీలా","యాకోబు, అండ్రేయా","పేతురు, యోహాను"
"సమరయ విశ్వాసులు ఇంకా దేనిని పొందలేదు?","బాప్తిస్మం","ధనం","పరిశుద్ధాత్మ","జ్ఞానం","పరిశుద్ధాత్మ"
"పేతురు, యోహాను చేతులు ఉంచినప్పుడు వారు ఏమి పొందారు?","ఆరోగ్యం","పరిశుద్ధాత్మ","ధనం","అధికారము","పరిశుద్ధాత్మ"
"పరిశుద్ధాత్మ వరాన్ని డబ్బుతో కొనాలని ప్రయత్నించినవాడు ఎవరు?","ఫిలిప్పు","సీమోను","పేతురు","యోహాను","సీమోను"
"సీమోనుతో పేతురు ఏమన్నాడు?","నీవు మంచివాడివి","నీ వెండి నీతో కూడ నశించుగాక","నీవు అపొస్తలుడవు","నీవు పరిశుద్ధుడవు","నీ వెండి నీతో కూడ నశించుగాక"
"ప్రభువు దూత ఫిలిప్పును ఏ మార్గానికి వెళ్లమన్నాడు?","రోమా మార్గం","యెరికో మార్గం","యెరూషలేము నుండి గాజాకు వెళ్లే మార్గం","దమస్కు మార్గం","యెరూషలేము నుండి గాజాకు వెళ్లే మార్గం"
"ఫిలిప్పు కలిసిన ఇథియోపియా అధికారి ఎవరి సేవకుడు?","క్లియోపాత్రా","కందాకే రాణి","బెర్నీకే","ద్రుసిల్లా","కందాకే రాణి"
"ఇథియోపియా అధికారి ఏ గ్రంథం చదువుతున్నాడు?","ఆదికాండము","కీర్తనలు","యెషయా గ్రంథం","నిర్గమకాండము","యెషయా గ్రంథం"
"ఫిలిప్పు అతనికి ఎవరిని గురించి ప్రకటించాడు?","మోషే","దావీదు","యేసు","అబ్రాహాము","యేసు"
"""ఇదిగో నీరు, నేను బాప్తిస్మం పొందుటకు ఆటంకం ఏమి?""" అని ఎవరు అడిగారు?","సీమోను","ఇథియోపియా అధికారి","పేతురు","యోహాను","ఇథియోపియా అధికారి"
"బాప్తిస్మం తర్వాత ప్రభువు ఆత్మ ఫిలిప్పును ఎక్కడికి తీసుకెడింది?","సమరయకు","రోమాకు","అజోతుకు","దమస్కుకు","అజోతుకు"
"ఫిలిప్పు చివరకు ఏ పట్టణానికి చేరుకున్నాడు?","కైసరియా","యెరూషలేము","యొప్పే","అంతియొకయ","కైసరియా"
