Question Text,Option A,Option B,Option C,Option D,Correct Option
"శిష్యుల సంఖ్య పెరుగుతున్న సమయంలో ఎవరి మధ్య ఫిర్యాదు కలిగింది?","యూదులు మరియు రోమీయులు","హెబ్రీయులు మరియు హెల్లెనీయులు","పరిసయ్యులు మరియు సద్దూకయ్యులు","యాజకులు మరియు లేవీయులు","హెబ్రీయులు మరియు హెల్లెనీయులు"
"హెల్లెనీయులు ఎందుకు ఫిర్యాదు చేశారు?","వారికి బోధ చేయలేదు","వారి విధవరాండ్రు దినసరి పరిచర్యలో నిర్లక్ష్యం చేయబడ్డారు","వారికి డబ్బు ఇవ్వలేదు","వారికి దేవాలయంలో ప్రవేశం లేదు","వారి విధవరాండ్రు దినసరి పరిచర్యలో నిర్లక్ష్యం చేయబడ్డారు"
"పన్నెండు మంది అపొస్తలులు శిష్యులను కూడదీసి ఏమన్నారు?","మేము బోధించడం ఆపుతాము","మేము ప్రార్థన చేయము","దేవుని వాక్యాన్ని విడిచి భోజనాల పని చేయడం తగదు","అందరూ ఇంటికి వెళ్లండి","దేవుని వాక్యాన్ని విడిచి భోజనాల పని చేయడం తగదు"
"అపొస్తలులు ఎన్నుకోమన్న వారి సంఖ్య ఎంత?","5 మంది","7 మంది","10 మంది","12 మంది","7 మంది"
"ఆ ఏడుగురు ఎలాంటి పేరుగలవారై ఉండాలని చెప్పారు?","ధనవంతులు","యాజకులు","మంచి సాక్ష్యముగలవారు, పరిశుద్ధాత్మతో మరియు జ్ఞానంతో నిండినవారు","వృద్ధులు","మంచి సాక్ష్యముగలవారు, పరిశుద్ధాత్మతో మరియు జ్ఞానంతో నిండినవారు"
"అపొస్తలులు తమను తాము ఏ రెండు పనులకు అంకితం చేసుకున్నారు?","ఉపవాసం మరియు సేవ","ప్రార్థన మరియు వాక్య పరిచర్య","దానం మరియు సేవ","యాత్ర మరియు బోధ","ప్రార్థన మరియు వాక్య పరిచర్య"
"ఏడుగురిలో మొదటగా పేర్కొనబడినవాడు ఎవరు?","ఫిలిప్పు","నికానోరు","స్తెఫను","తీమోను","స్తెఫను"
"స్తెఫను ఎటువంటి వ్యక్తిగా వర్ణించబడ్డాడు?","ధనవంతుడు","విశ్వాసమును పరిశుద్ధాత్మను నిండినవాడు","యాజకుడు","రాజు","విశ్వాసమును పరిశుద్ధాత్మను నిండినవాడు"
"అంతియొకయకు చెందిన మతాంతరుడు ఎవరు?","ఫిలిప్పు","నికానోరు","నికొలావు","పర్మెనా","నికొలావు"
"ఏడుగురిని అపొస్తలుల ముందు నిలబెట్టిన తరువాత ఏమి చేశారు?","అభినందించారు","వారికి ధనం ఇచ్చారు","ప్రార్థించి చేతులు ఉంచారు","వారిని పంపించారు","ప్రార్థించి చేతులు ఉంచారు"
"ఫలితంగా దేవుని వాక్యం ఎలా వ్యాపించింది?","తగ్గింది","ఆగిపోయింది","విస్తరించింది","దాచబడింది","విస్తరించింది"
"యెరూషలేములో శిష్యుల సంఖ్య ఏమైంది?","తగ్గింది","స్థిరంగా ఉంది","బహుగా పెరిగింది","సగానికి తగ్గింది","బహుగా పెరిగింది"
"యాజకులలో అనేకులు దేనికి విధేయులయ్యారు?","ధర్మశాస్త్రానికి","విశ్వాసానికి","రోమా ప్రభుత్వానికి","సద్దూకయ్యులకు","విశ్వాసానికి"
"స్తెఫను దేనితో నిండియుండెను?","ధనంతో","అధికారంతో","కృపతో మరియు శక్తితో","విద్యతో","కృపతో మరియు శక్తితో"
"స్తెఫను ప్రజలలో ఏమి చేసేవాడు?","వ్యాపారం","సూచక క్రియలు, మహత్కార్యాలు","వ్యవసాయం","రాజకీయ ప్రసంగాలు","సూచక క్రియలు, మహత్కార్యాలు"
"స్తెఫనుతో వాదించినవారు ఏ సమాజ మందిరానికి చెందినవారు?","గలిలయ సమాజ మందిరం","విముక్తుల సమాజ మందిరం","యెరూషలేము సమాజ మందిరం","నజరేతు సమాజ మందిరం","విముక్తుల సమాజ మందిరం"
"వారు స్తెఫనును ఎందుకు ఎదుర్కోలేకపోయారు?","అతను బలవంతుడు కాబట్టి","అతనికి ధనం ఎక్కువ కాబట్టి","అతడు మాట్లాడిన జ్ఞానమును, ఆత్మను ఎదిరించలేకపోయారు","అతను యాజకుడు కాబట్టి","అతడు మాట్లాడిన జ్ఞానమును, ఆత్మను ఎదిరించలేకపోయారు"
"స్తెఫనుపై వారు ఏ తప్పుడు ఆరోపణ చేశారు?","దొంగతనం చేశాడని","మోషేకు మరియు దేవునికి విరోధంగా మాట్లాడాడని","పన్ను కట్టలేదని","తిరుగుబాటు చేశాడని","మోషేకు మరియు దేవునికి విరోధంగా మాట్లాడాడని"
"స్తెఫనును ఎక్కడికి తీసుకువెళ్లారు?","చెరసాలకు","సముద్రతీరానికి","మహాసభకు","రోమాకు","మహాసభకు"
"మహాసభలో కూర్చున్నవారు స్తెఫను ముఖాన్ని ఎలా చూశారు?","రాజు ముఖంలా","సింహం ముఖంలా","దేవదూత ముఖంలా","ప్రవక్త ముఖంలా","దేవదూత ముఖంలా"
