Question Text,Option A,Option B,Option C,Option D,Correct Option
అపోస్తలుల కార్యములు గ్రంథం ఎవరికి వ్రాయబడింది?,తిమోతికి,థియోఫిలుకు,తీతుకు,బర్నబాకు,థియోఫిలుకు
యేసు తన పునరుత్థానానంతరం ఎన్ని రోజులు శిష్యులకు కనిపించాడు?,30 రోజులు,50 రోజులు,40 రోజులు,10 రోజులు,40 రోజులు
యేసు శిష్యులకు దేని కోసం ఎదురుచూడమని చెప్పాడు?,కొత్త రాజ్యం కోసం,పరిశుద్ధాత్మ కోసం,కొత్త దేవాలయం కోసం,కొత్త నాయకుడు కోసం,పరిశుద్ధాత్మ కోసం
యోహాను దేనితో బాప్తిస్మమిచ్చాడు?,అగ్నితో,పరిశుద్ధాత్మతో,నీటితో,నూనెతో,నీటితో
పరిశుద్ధాత్మ వచ్చిన తరువాత శిష్యులు ఏమి పొందుతారు?,ధనం,అధికారము,శక్తి,జ్ఞానం,శక్తి
యేసు సాక్షులుగా ఎక్కడివరకు ఉండాలని చెప్పాడు?,యూదయ వరకు,సమరయ వరకు,రోమా వరకు,భూదిగంతముల వరకు,భూదిగంతముల వరకు
యేసు పరలోకానికి ఎత్తబడినప్పుడు ఆయనను ఏమి కప్పివేసింది?,పొగ,మేఘము,వెలుగు,అగ్ని,మేఘము
యేసు పరలోకానికి వెళ్లినప్పుడు శిష్యుల దగ్గర ఎవరు కనిపించారు?,ఇద్దరు ప్రవక్తలు,ఇద్దరు యాజకులు,ఇద్దరు తెల్ల వస్త్రధారులు,ఇద్దరు సైనికులు,ఇద్దరు తెల్ల వస్త్రధారులు
శిష్యులు ఏ పట్టణానికి తిరిగి వచ్చారు?,బేతనియా,నజరేతు,యెరికో,యెరూషలేము,యెరూషలేము
శిష్యులు ఎక్కడ కూడి ఉన్నారు?,దేవాలయంలో,పైగదిలో,ఇంటి ప్రాంగణంలో,కొండమీద,పైగదిలో
శిష్యులతో కలిసి ప్రార్థనలో ఉన్న యేసు తల్లి ఎవరు?,మార్థా,మరియ,మరియ మగ్దలీనే,ఎలిజబెత్,మరియ
ఆ సమయంలో కూడిన వారి సంఖ్య సుమారు ఎంత?,70 మంది,100 మంది,120 మంది,150 మంది,120 మంది
యూదా స్థానాన్ని గురించి ఎవరు మాట్లాడారు?,యోహాను,యాకోబు,పేతురు,మత్తీయ,పేతురు
యూదా కొనిన పొలానికి ఏ పేరు పెట్టబడింది?,గోల్గొతా,అకెల్దామా,బేత్సయిదా,కపెర్నహూము,అకెల్దామా
యూదా స్థానానికి ఎంపికైన ఇద్దరిలో ఒకరు ఎవరు?,మార్కు,లూకా,యోసేపు బర్సబ్బా,తీతు,యోసేపు బర్సబ్బా
యూదా స్థానంలో చివరకు ఎవరిని ఎన్నుకున్నారు?,బర్సబ్బా,మత్తీయ,మార్కు,తిమోతి,మత్తీయ
అపొస్తలులు ఎంపికకు ముందు ఏమి చేశారు?,ఉపవాసం మాత్రమే చేశారు,చర్చ మాత్రమే చేశారు,ప్రార్థించారు,ప్రయాణం చేశారు,ప్రార్థించారు
మత్తీయ ఎవరితో లెక్కించబడ్డాడు?,డెబ్బది మంది శిష్యులతో,పన్నెండు గోత్రాలతో,పదకొండు మంది అపొస్తలులతో,యెరూషలేము సంఘంతో,పదకొండు మంది అపొస్తలులతో
"""మీరు పరిశుద్ధాత్మతో బాప్తిస్మము పొందుదురు"" అని ఎవరు చెప్పారు?",పేతురు,యోహాను,యేసు,దేవదూత,యేసు
అపోస్తలుల కార్యములు 1వ అధ్యాయంలోని ముఖ్య సంఘటన ఏది?,పెంతెకొస్తు దినము,పౌలు మారుమనస్సు,యేసు పరలోకారోహణము,పేతురు చెరనుండి విడుదల,యేసు పరలోకారోహణము
