Question Text,Option A,Option B,Option C,Option D,Correct Option
"శిష్యులను హింసించేందుకు సౌలు ఎక్కడికి వెళ్లాలని అనుకున్నాడు?","రోమా","కైసరియా","దమస్కు","అంతియొకయ","దమస్కు"
"సౌలు ప్రధాన యాజకుని నుండి ఏమి తీసుకున్నాడు?","ధనం","ఉత్తరాలు","ఆయుధాలు","గుర్రాలు","ఉత్తరాలు"
"దమస్కుకు వెళ్తుండగా సౌలు చుట్టూ ఏమి ప్రకాశించింది?","అగ్ని","మెరుపు","ఆకాశమునుండి వెలుగు","నక్షత్రం","ఆకాశమునుండి వెలుగు"
"""సౌలా, సౌలా, నన్నెందుకు హింసించుచున్నావు?""" అని ఎవరు అన్నారు?","పేతురు","అననీయా","యేసు","గమలియేలు","యేసు"
"సౌలు నేలపై పడిపోయిన తర్వాత ఏమి అడిగాడు?","నేను ఎక్కడ ఉన్నాను?","ప్రభువా, నీవెవరు?","నేను ఏమి చేయాలి?","నన్ను రక్షించు","ప్రభువా, నీవెవరు?"
"యేసు సౌలుతో ఏ పట్టణానికి వెళ్లమని చెప్పాడు?","యెరూషలేము","కైసరియా","దమస్కు","యొప్పే","దమస్కు"
"సౌలు ఎన్ని రోజులు చూపులేకుండా ఉన్నాడు?","1 రోజు","2 రోజులు","3 రోజులు","7 రోజులు","3 రోజులు"
"దమస్కులో ఉన్న శిష్యుని పేరు ఏమిటి?","బర్నబా","అననీయా","ఫిలిప్పు","సీలా","అననీయా"
"దేవుడు అననీయాకు ఎక్కడికి వెళ్లమని చెప్పాడు?","సూటి వీధికి","రాజవీధికి","దేవాలయానికి","సమరయకు","సూటి వీధికి"
"సౌలు ఏ పట్టణానికి చెందినవాడని చెప్పబడింది?","యెరూషలేము","తార్సు","రోమా","యొప్పే","తార్సు"
"అననీయా సౌలుపై చేతులు ఉంచినప్పుడు ఏమైంది?","అతడు మాట్లాడలేకపోయాడు","అతనికి బలం వచ్చింది","అతనికి చూపు వచ్చింది మరియు పరిశుద్ధాత్మతో నింపబడ్డాడు","అతడు నిద్రపోయాడు","అతనికి చూపు వచ్చింది మరియు పరిశుద్ధాత్మతో నింపబడ్డాడు"
"సౌలు వెంటనే ఏమి పొందాడు?","ధనం","బాప్తిస్మం","అధికారము","గౌరవం","బాప్తిస్మం"
"సౌలు సమాజ మందిరాలలో ఏమి ప్రకటించాడు?","మోషేను","దావీదును","యేసు దేవుని కుమారుడు అని","ఎలీయాను","యేసు దేవుని కుమారుడు అని"
"సౌలు బోధ విని ప్రజలు ఎలా అయ్యారు?","కోపపడ్డారు","ఆశ్చర్యపోయారు","పారిపోయారు","నవ్వారు","ఆశ్చర్యపోయారు"
"యూదులు సౌలును ఏమి చేయాలని కుట్ర పన్నారు?","చెరలో వేయాలని","దేశం నుండి పంపాలని","చంపాలని","కొట్టాలని","చంపాలని"
"శిష్యులు సౌలును ఎలా తప్పించారు?","గుర్రంపై పంపించారు","రాత్రి గంపలో గోడమీద నుంచి దించారు","ఓడలో పంపించారు","అడవిలో దాచారు","రాత్రి గంపలో గోడమీద నుంచి దించారు"
"సౌలును అపొస్తలుల దగ్గరకు తీసుకువెళ్లినవాడు ఎవరు?","పేతురు","యోహాను","బర్నబా","ఫిలిప్పు","బర్నబా"
"సౌలు యెరూషలేములో ఎవరితో ధైర్యంగా మాట్లాడాడు?","సమరయులతో","గ్రీకు భాష మాట్లాడే యూదులతో","రోమీయులతో","ఐగుప్తీయులతో","గ్రీకు భాష మాట్లాడే యూదులతో"
"వారు సౌలును చంపాలని ప్రయత్నించగా సహోదరులు అతనిని ఎక్కడికి పంపారు?","రోమాకు","తార్సుకు","యొప్పేకు","సమరయకు","తార్సుకు"
"సంఘము యూదయ, గలిలయ, సమరయ ప్రాంతములందు ఏమి పొందింది?","హింస","యుద్ధం","సమాధానం","కరువు","సమాధానం"
"ఎనిమిది సంవత్సరాలుగా పక్షవాతంతో బాధపడిన వ్యక్తి పేరు ఏమిటి?","కొర్నేలి","ఐనేయా","తబితా","సీమోను","ఐనేయా"
"ఐనేయాను ఎవరు స్వస్థపరిచారు?","యోహాను","ఫిలిప్పు","పేతురు","సౌలు","పేతురు"
"""నీ పరుపు నీవే సర్దుకొనుము""" అని పేతురు ఎవరితో చెప్పాడు?","తబితా","ఐనేయా","కొర్నేలి","సౌలు","ఐనేయా"
"యొప్పేలో మరణించిన శిష్యురాలి పేరు ఏమిటి?","మరియ","లూదియా","తబితా (దొర్కా)","సప్పీరా","తబితా (దొర్కా)"
"తబితా ఏ పనులకు ప్రసిద్ధురాలు?","బోధనకు","దానధర్మాలకు, సత్క్రియలకు","వ్యాపారానికి","సంగీతానికి","దానధర్మాలకు, సత్క్రియలకు"
"తబితాను ఎవరు బ్రతికించారు?","సౌలు","ఫిలిప్పు","పేతురు","బర్నబా","పేతురు"
"""తబితా, లెమ్ము""" అని ఎవరు చెప్పారు?","యేసు","పేతురు","యోహాను","సౌలు","పేతురు"
"తబితా బ్రతికిన వార్త విని యొప్పేలో చాలామంది ఏమి చేశారు?","ఆశ్చర్యపోయారు","ప్రభువును విశ్వసించారు","పట్టణం విడిచారు","పేతురును అరెస్టు చేశారు","ప్రభువును విశ్వసించారు"
"పేతురు యొప్పేలో ఎవరి ఇంటిలో అనేక రోజులు ఉన్నాడు?","కొర్నేలి","బర్నబా","సీమోను చర్మకారుడు","ఫిలిప్పు","సీమోను చర్మకారుడు"
