Question Text,Option A,Option B,Option C,Option D,Correct Option
"పేతురు మరియు యోహాను ఏ ప్రార్థన వేళ దేవాలయానికి వెళ్లారు?","మూడవ గంట","ఆరవ గంట","తొమ్మిదవ గంట","పన్నెండవ గంట","తొమ్మిదవ గంట"
"పుట్టుకతోనే కుంటివాడైన మనిషిని ఏ ద్వారం దగ్గర ఉంచేవారు?","తూర్పు ద్వారం","సుందరమైన ద్వారం","ఉత్తర ద్వారం","గొర్రెల ద్వారం","సుందరమైన ద్వారం"
"కుంటివాడు పేతురు, యోహానుల దగ్గర ఏమి అడిగాడు?","ఆహారం","నీరు","భిక్ష","వస్త్రం","భిక్ష"
"పేతురు కుంటివానితో ఏమన్నాడు?","రేపు రా","""నా దగ్గర వెండి బంగారం లేవు""","ఇంటికి వెళ్లు","దేవాలయంలో ప్రార్థించు","""నా దగ్గర వెండి బంగారం లేవు"""
"పేతురు ఎవరి నామములో లేచి నడువుమని చెప్పాడు?","మోషే","దావీదు","అబ్రాహాము","యేసు క్రీస్తు","యేసు క్రీస్తు"
"పేతురు కుంటివానిని ఏ చేతితో పట్టుకున్నాడు?","ఎడమ చేయి","కుడి చేయి","రెండు చేతులు","భుజం","కుడి చేయి"
"వెంటనే కుంటివాని ఏ భాగాలు బలపడ్డాయి?","చేతులు","కళ్ళు","పాదాలు, చీలమండలు","చెవులు","పాదాలు, చీలమండలు"
"స్వస్థత పొందిన మనిషి ఏమి చేస్తూ దేవాలయంలోకి వెళ్లాడు?","ఏడుస్తూ","నడుస్తూ, గంతులు వేస్తూ, దేవుని స్తుతిస్తూ","పరుగెత్తుతూ","మౌనంగా","నడుస్తూ, గంతులు వేస్తూ, దేవుని స్తుతిస్తూ"
"ప్రజలు స్వస్థత పొందిన వ్యక్తిని ఎక్కడ భిక్ష అడిగేవాడిగా గుర్తించారు?","మార్కెట్లో","దేవాలయ ప్రాంగణంలో","సుందరమైన ద్వారం దగ్గర","వీధిలో","సుందరమైన ద్వారం దగ్గర"
"ప్రజలందరూ ఎక్కడికి పరుగెత్తుకొని వచ్చారు?","పైగది","సొలొమోను మంటపము","యాజకుల గది","పట్టణ ద్వారం","సొలొమోను మంటపము"
"""మా స్వశక్తిచేత ఇతనిని నడిపించాము అనుకుంటున్నారా?"" అని ఎవరు అడిగారు?","యోహాను","పేతురు","యాకోబు","అండ్రేయా","పేతురు"
"ఈ స్వస్థత ఎవరి నామమువలన జరిగిందని పేతురు చెప్పాడు?","మోషే","అబ్రాహాము","యేసు","ఏలీయా","యేసు"
"유దులు ఎవరిని చంపించారు అని పేతురు చెప్పాడు?","యోహాను బాప్తిస్మమిచ్చువాడు","స్తెఫను","యేసు","యాకోబు","యేసు"
"దేవుడు ఎవరిని మృతులలోనుండి లేపాడు?","లాజరు","యేసు","యోహాను","మత్తీయ","యేసు"
"పేతురు ప్రజలను ఏమి చేయమని పిలిచాడు?","దానం చేయండి","ఉపవాసం ఉండండి","మారుమనస్సు పొందండి","యాత్ర చేయండి","మారుమనస్సు పొందండి"
"మారుమనస్సు పొందితే ఏమి తుడిచివేయబడతాయి?","రోగాలు","పాపాలు","కష్టాలు","అప్పులు","పాపాలు"
"""నావంటి ఒక ప్రవక్తను దేవుడు లేపును"" అని ఎవరు చెప్పారు?","దావీదు","యెషయా","మోషే","యిర్మీయా","మోషే"
"దేవుడు ముందుగా ఎవరితో నిబంధన చేసాడు అని పేతురు చెప్పాడు?","నోవహుతో","అబ్రాహాముతో","దావీదుతో","సొలొమోనుతో","అబ్రాహాముతో"
"అబ్రాహాము సంతానము ద్వారా భూమి వంశములన్నీ ఏమి పొందుతాయి?","జ్ఞానం","శాంతి","ఆశీర్వాదం","సంపద","ఆశీర్వాదం"
"అపోస్తలుల కార్యములు 3వ అధ్యాయంలోని ప్రధాన అద్భుతం ఏమిటి?","పరిశుద్ధాత్మ అవతరణ","కుంటివాని స్వస్థపరచడం","పౌలు మారుమనస్సు","చెరసాల తలుపులు తెరుచుకోవడం","కుంటివాని స్వస్థపరచడం"
