Question Text,Option A,Option B,Option C,Option D,Correct Option
"పేతురు, యోహాను ప్రజలతో మాట్లాడుతుండగా వారి దగ్గరకు ఎవరు వచ్చారు?","పరిసయ్యులు","సద్దూకయ్యులు, యాజకులు, దేవాలయపు అధికారి","రోమా సైనికులు","శాస్త్రులు","సద్దూకయ్యులు, యాజకులు, దేవాలయపు అధికారి"
"వారు పేతురు, యోహానుల మీద ఎందుకు కోపపడ్డారు?","దేవాలయంలో బోధించినందుకు","యేసు ద్వారా పునరుత్థానాన్ని ప్రకటించినందుకు","ప్రజలను కూడగట్టినందుకు","అద్భుతాలు చేసినందుకు","యేసు ద్వారా పునరుత్థానాన్ని ప్రకటించినందుకు"
"పేతురు, యోహానులను ఎక్కడ ఉంచారు?","దేవాలయంలో","చెరసాలలో","రాజభవనంలో","పైగదిలో","చెరసాలలో"
"ఆ రోజు వరకు విశ్వసించిన పురుషుల సంఖ్య ఎంతైంది?","3,000","4,000","5,000","6,000","5,000"
"పేతురు ఏ ఆత్మతో నింపబడి మాట్లాడాడు?","జ్ఞానాత్మ","పరిశుద్ధాత్మ","ధైర్యాత్మ","ప్రేమాత్మ","పరిశుద్ధాత్మ"
"కుంటివాడు ఎవరి నామములో స్వస్థత పొందాడని పేతురు చెప్పాడు?","మోషే","దావీదు","యేసు క్రీస్తు","అబ్రాహాము","యేసు క్రీస్తు"
"""ఇతరులవలన రక్షణ లేదు"" అని పేతురు ఎవరి గురించి చెప్పాడు?","మోషే","అబ్రాహాము","యేసు","ఏలీయా","యేసు"
"పేతురు, యోహానులు ఏ విద్య లేని సామాన్యులని నాయకులు గుర్తించారు?","చదువులేని","ధనవంతులు","యాజకులు","సైనికులు","చదువులేని"
"వారు ఎవరితో ఉండినవారని నాయకులు గుర్తించారు?","మోషేతో","గమలియేలుతో","యేసుతో","యోహాను బాప్తిస్మమిచ్చువాడితో","యేసుతో"
"స్వస్థత పొందిన మనిషి వయస్సు ఎంతకు పైగా ఉంది?","20 సంవత్సరాలు","30 సంవత్సరాలు","40 సంవత్సరాలు","50 సంవత్సరాలు","40 సంవత్సరాలు"
"యూదుల సభ పేతురు, యోహానులను ఏమి చేయవద్దని ఆజ్ఞాపించింది?","దేవాలయానికి వెళ్లవద్దు","యేసు నామములో బోధించవద్దు","ప్రార్థించవద్దు","యెరూషలేములో ఉండవద్దు","యేసు నామములో బోధించవద్దు"
"పేతురు, యోహానులు వారికి ఏమని జవాబు చెప్పారు?","మేము మౌనంగా ఉంటాము","మీ మాట వింటాము","దేవుని మాట వినడం మంచిది","యెరూషలేము విడిచి వెళ్తాము","దేవుని మాట వినడం మంచిది"
"విడుదలైన తరువాత పేతురు, యోహానులు ఎవరి దగ్గరకు వెళ్లారు?","తమ సహోదరుల దగ్గరకు","దేవాలయానికి","సమరయకు","గలిలయకు","తమ సహోదరుల దగ్గరకు"
"విశ్వాసులు ప్రార్థనలో దేవుణ్ణి ఏమని సంబోధించారు?","తండ్రి","ప్రభువా","సృష్టికర్త","పరిశుద్ధుడా","ప్రభువా"
"ప్రార్థన చేసిన తరువాత ఏమి కదిలింది?","దేవాలయం","కొండ","వారు కూడిన స్థలం","చెరసాల","వారు కూడిన స్థలం"
"ప్రార్థన తరువాత వారు దేనితో నింపబడ్డారు?","ఆనందంతో","జ్ఞానంతో","పరిశుద్ధాత్మతో","ప్రేమతో","పరిశుద్ధాత్మతో"
"విశ్వాసులు దేవుని వాక్యాన్ని ఎలా ప్రకటించారు?","భయంతో","రహస్యంగా","ధైర్యంగా","మౌనంగా","ధైర్యంగా"
"విశ్వాసుల సమూహానికి ఎన్ని హృదయాలు ఉన్నాయి?","రెండు","మూడు","ఒక హృదయం, ఒక మనస్సు","అనేక","ఒక హృదయం, ఒక మనస్సు"
"అపొస్తలులు ఏ విషయానికి గొప్ప సాక్ష్యమిచ్చారు?","సృష్టికి","ధర్మశాస్త్రానికి","యేసు పునరుత్థానానికి","దేవాలయానికి","యేసు పునరుత్థానానికి"
"యోసేపుకు అపొస్తలులు ఏ పేరు పెట్టారు?","సీలా","బర్నబా","మార్కు","తీతు","బర్నబా"
"""బర్నబా"" అనే పేరుకు అర్థం ఏమిటి?","విశ్వాస కుమారుడు","ధైర్యవంతుడు","ఆదరణ కుమారుడు","జ్ఞానవంతుడు","ఆదరణ కుమారుడు"
"బర్నబా ఏ గోత్రానికి చెందినవాడు?","యూదా","లేవి","బెన్యామీను","ఎఫ్రాయిము","లేవి"
"బర్నబా తన పొలాన్ని అమ్మి వచ్చిన డబ్బును ఎక్కడ ఉంచాడు?","దేవాలయంలో","పేదలకు నేరుగా ఇచ్చాడు","అపొస్తలుల పాదాల దగ్గర ఉంచాడు","సంఘ ఖజానాలో పెట్టాడు","అపొస్తలుల పాదాల దగ్గర ఉంచాడు"
